Lat,Lng,Category,Name,Address,Website,Image,Zipcode,Phone Number,Visible,Description,Weight
37.79788,-122.40129,DRINK,The Battery,"717 Battery St<br />San Francisco, CA",https://thebatterysf.com,http://siascotch.com/wp-content/uploads/2014/01/bar_thebattery_sf.jpg,94111,(415) 230-8000,YES,"Located in the Financial District, The Battery brings people together over amazing food, and members will find a range of high quality dining at 717B and exciting cocktails at The House Bar. ",
37.78980,-122.42031,STORE,Royal Liquors,"1400 Polk St<br />San Francisco, CA",http://www.royalliquors.net,http://siascotch.com/wp-content/uploads/2014/01/store_royalliquors_sf1.jpg,94109,(415) 474-4400,YES,"In the heart of San Francisco, on Polk Street, this wonderful establishment has been serving Nob Hill, Russian Hill and Polk Street for over 30 years.",
38.23490,-122.64208,DRINK,Maguires Pub,"145 Kentucky StPetaluma, CA ",http://www.maguirespetaluma.com,http://siascotch.com/wp-content/uploads/2014/02/bar_macguires_petaluma.jpg,94952,(707) 762-9800,YES,"With 16 beers on tap and fresh food made daily, Maguires Pub, located in the historic Petaluma opera house downtown,  gives you what you want.",
34.14918,-118.43920,DRINK,The Local Peasant,"14058 Ventura Blvd <br />Sherman Oaks, CA",http://www.thelocalpeasant.com,http://siascotch.com/wp-content/uploads/2014/01/bar_thelocalpeasant_woodlandhills.jpg,91423,(818) 501-0234,YES,"Cocktails offered at the Woodland Hills location have a “prohibition” theme that includes side cars, Negornis as well as Moscow Mules. Try a side car or Mule with SIA!",
37.76816,-122.42414,DRINK,Thieves Tavern,"496 14th Street<br />San Francisco, CA ",http://www.yelp.com/biz/thieves-tavern-san-francisco?nb=1,http://siascotch.com/wp-content/uploads/2014/01/bar_thievestavern_sf.jpg,94103,(415) 252-9082,YES,"This San Francisco go-to neighborhood bar has an incredible whiskey selection, two pool tables and a jukebox. Stop in today for a glass SIA.",
37.76040,-122.41443,DRINK,The Homestead,"2301 Folsom St.San Francisco, CA",http://www.homesteadsf.com,http://siascotch.com/wp-content/uploads/2014/02/bar_homestead_sf.jpg,94110,(415) 282-4663,YES,"From Yelp: Golden tin ceilings, period wallpaper, Victorian style frames around the windows, excellent draught selection, extensive bourbon/whisky/rye on back bar.",
37.78623,-122.41715,DRINK,Whiskey Thieves,"839 Geary St<br />San Francisco, CA",http://www.yelp.com/biz/whiskey-thieves-san-francisco?nb=1,http://siascotch.com/wp-content/uploads/2014/01/bar_whiskeythieves_sf.jpg,94109,(415) 506-8331,YES,"From Yelp: Like whiskey? Great, you'll feel at home. New to whiskey and scared of asking questions? Don't be. The bartenders here know what they're doing.",8
34.10165,-118.28716,STORE,Cap N' Cork Junior Market,"1674 Hillhurst Ave<br />Los Angeles, CA ",http://www.capncork.net,http://siascotch.com/wp-content/uploads/2014/01/store_capncork_losangeles.jpg,90027,(323) 665-1260,YES,"Located in Los Feliz, near The Abbey and The Standard, this shop has an excellent selection of spirits, beer and wine with a very knowledgeable staff. Stop in for a bottle of SIA.",
32.73822,-117.17646,DRINK,Aero Club,"3365 India St<br />San Diego, CA",http://www.aeroclubbar.com,http://siascotch.com/wp-content/uploads/2014/02/bar_aeroclub_sandiego.jpg,92103,(619) 297-7211,YES,Stop into Aero and ask for a SIA in a delicious cocktail or neat. From Yelp: Looking for an INSANE whiskey collection? Then look no further than Aero Club. More than 800 whiskeys.,
37.89251,-122.11751,STORE,Jackson's Wines & Spirits,"3524 Mt Diablo Blvd<br />Lafayette, CA",http://www.yelp.com/biz/jacksons-wines-and-spirits-lafayette-2?nb=1,http://siascotch.com/wp-content/uploads/2014/02/store_jacksons_lafayette.jpg,94549,(925) 284-4100,YES,"From Yelp: Jackson's Wines and Spirits is the best place in the East Bay to buy wine and spirits. Kip, Phil and the staff are extremely knowledgeable and helpful.",
37.79232,-122.39284,STORE,Cask at Rincon,"101 Spear St<br />San Francisco, CA",http://www.caskstore.com,http://siascotch.com/wp-content/uploads/2014/01/store_caskrincon_sf.jpg,94105,(888) 577-2275,YES,"Cask Store's second location, Rincon Center. Incredible selection of spirits, wine and small batch brewery selections. Or <a href =""http://www.caskstore.com/shop/sia-blended-scotch-2829"">Buy SIA Scotch online here</a>",
37.78048,-122.47989,STORE,Blackwells Wines & Spirits,"5620 Geary Blvd<br />San Francisco, CA",http://www.blackwellswines.com,http://siascotch.com/wp-content/uploads/2014/02/store_blackwells_sf.jpg,94121,(415) 386-9463,YES,"Blackwell's takes great care in selecting their inventory to help ensure that each bottle you enjoy will make the moment a memorable one. Stop by, or call (415) 386-9463 for SIA.",
39.19729,-120.23601,DRINK,Plumpjack - Squaw,"1920 Squaw Valley Rd<br />Olympic Valley, CA",www.plumpjackcafe.com,http://siascotch.com/wp-content/uploads/2014/02/bar_plumpjack_squaw.jpg,96146,(530) 583-1578,YES,"SIA is perfect for apres-ski at Squaw. In the heart of the village, head to Plumpjack Cafe, site by the fire, and drink a beautiful whisky.",
38.94427,-119.97074,DRINK,MacDuff's Pub,"1041 Fremont Ave<br />South Lake Tahoe, CA ",http://www.macduffspub.com,http://siascotch.com/wp-content/uploads/2014/02/bar_macduffs_tahoe.jpg,96150,(530) 542-8777,YES,"Enjoy a glass of SIA whisky after a day on the slopes. at MacDuff's, just a short drive from the Heavenly Mountain gondola. MacDuff’s offers a wide selection of traditional pub fare and wood-fired pizza.",
37.27420,-121.93362,STORE,Maplewood Market & Liquors,"2620 Union Ave<br />San Jose, CA",http://www.yelp.com/biz/maplewood-market-and-liquors-san-jose?nb=1,http://siascotch.com/wp-content/uploads/2014/01/store_maplewood_sanjose.jpg,95124,(408) 377-9356,YES,From Yelp: This Dry Creek neighborhood of San Jose shop has quickly become my go-to 'secret' spot for hard-to-find spirits. Shopping is fun... but this takes it to a whole other level. ,
34.16940,-118.11367,STORE,Mission Wine and Spirits,"1785 E Washington Blvd<br />Pasadena, CA ",http://www.missionliquor.com,http://siascotch.com/wp-content/uploads/2014/01/store_missionwineandspirits_pasadena.jpg,91104,(626) 797-0500,YES,"Outstanding product selection and customer service for over 60 years! Voted best local wine/beer shop by Pasadena Weekly. <a href=""https://www.missionliquor.com/product/sia-blended-scotch-whisky-750ml/14472"">Order SIA Scotch Online</a>",4
32.68756,-117.17924,STORE,Avenue Liquor Store,"878 Orange Ave<br />Coronado, CA",http://www.yelp.com/biz/avenue-liquor-store-coronado?nb=1,http://siascotch.com/wp-content/uploads/2014/02/store_avenueliqour_sandiego.jpg,92118,(619) 435-4663,YES,"Stop into Avenue for a bottle of SIA in San Diego. This shop sells spirits, wine and beer, and is also a big stop for their submarine sandwiches. Delivery available.",
39.72055,-121.82621,STORE,Sierra Market,"1710 Park Ave<br />Chico, CA",http://www.yelp.com/biz/sierra-market-chico?nb=1,http://siascotch.com/wp-content/uploads/2014/02/store_sierramarket2_chico.jpg,95928,(530) 342-4579,YES,Stop into Sierra Market or call (530) 342-4579 for a bottle of SIA.,
39.74983,-121.82630,STORE,Spike's Bottle Shop,"1270 E 1st Ave<br />Chico, CA",http://www.yelp.com/biz/spikes-bottle-shop-chico?nb=1,http://siascotch.com/wp-content/uploads/2014/02/store_spikesbottleshop_chico.jpg,95926,(530) 893-8410,YES,"From Yelp: Spikes has the best selection for beer in Chico, and the customer service is great.  Thanks for the great service and great selection!",
39.76106,-121.60414,STORE,Liquor Bank,"6026 Clark Rd<br />Paradise, CA",http://www.yelp.com/biz/liquor-bank-paradise?nb=1,http://siascotch.com/wp-content/uploads/2014/02/store_liquorbank_paradise.jpg,95969,(530) 872-7950,YES,Stop into the Liquor Bank in Paradise and ask Jeff for a bottle of SIA. They also have a location in Chico.,
37.23840,-121.84871,STORE,The Wine Rack,"5768 Santa Teresa Blvd<br />San Jose, CA",http://www.yelp.com/biz/the-wine-rack-san-jose-2?nb=1,http://siascotch.com/wp-content/uploads/2014/01/store_thewinerack_sanjose.jpg,95123,(408) 227-8882,YES,"From Yelp: The store is always stocked well with a wide selection of craft beers, wines and spirits at very competitive prices. The owner is super friendly and is always helpful.",
37.79447,-122.40312,DRINK,Wingtip - Club,"550 Montgomery St<br />San Francisco, CA",http://www.wingtip.com/club,http://siascotch.com/wp-content/uploads/2014/02/bar_wingtip_sf.jpg,94111,(415) 765-0993,YES,"An urban refuge for loyal customers of Wingtip, located in the heart of San Francisco's Financial District. Enjoy a glass of SIA at The Club at Wingtip with friends.",8
37.77799,-122.42267,DRINK,Muka,"370 Grove St<br />San Francisco, CA",http://www.mukasf.com,http://siascotch.com/wp-content/uploads/2014/02/bar_muka_sf.jpg,94102,(415) 701-9888,YES,"Step away from the grit of Civic Center, and enter Muka: a charming slice of Europe right in the heart of San Francisco's Hayes Valley. ",
37.78683,-122.40031,DRINK,John Colins,"138 Minna St<br />San Francisco, CA",http://www.johncolins.com,http://siascotch.com/wp-content/uploads/2014/02/bar_johncollins_sf.jpg,94105,(415) 512-7493,YES,From Yelp: John Collins is a cool downtown spot and pretty awesome for post-work drinks and happy hour. It's got a lot of room but gets full fast between 5:30-6pm.,
37.75970,-122.41880,DRINK,Piattini,"2331 Mission St<br />San Francisco, CA",http://piattinisf.com,http://siascotch.com/wp-content/uploads/2014/02/bar_piatini_sf.jpg,94110,(415) 956-5528,YES,"Piattini on Mission and 19th is a gem of small plates- try the Pumkin Ravioli! and order a SIA Old Fashioned or a Side Car with SIA, delicious!",
38.49477,-122.76060,DRINK,John Ash & Co.,"4330 Barnes Rd<br />Santa Rosa, CA",http://www.vintnersinn.com/dining.asp,http://siascotch.com/wp-content/uploads/2014/02/bar_johnash_santarosa.jpg,95403,(707) 527-7687,YES,The legendary John Ash & Co. restaurant is a celebration of fine dining and wine country cuisine at its best. Proud to be included in their selection!,
37.78659,-122.41453,DRINK,Rye,"688 Geary St<br />San Francisco, CA ",http://www.ryesf.com,http://siascotch.com/wp-content/uploads/2014/02/bar_rye_sf.jpg,94102,(415) 474-4448,YES,Can I just say....I love this place! Incredible cocktail program. Fantastic bartenders. big fan... HUGE.,9
36.97299,-122.02617,DRINK,Motiv,"1209 Pacific Ave<br />Santa Cruz, CA",http://www.motivsc.com,http://siascotch.com/wp-content/uploads/2014/02/bar_motiv_santacruz.jpg,95060,(831) 429-8070,YES,"Located in Downtown Santa Cruz. MOTIV creates a space for “inspired culture”, engaging passions on many levels.",
37.76968,-122.44815,STORE,Liquid Experience,"1589 Haight St<br />San Francisco, CA",http://www.yelp.com/biz/liquid-experience-san-francisco,http://siascotch.com/wp-content/uploads/2014/02/store_liquidexperience_sf.jpg,94117,(415) 255-6718,YES,"From Yelp: The best neighborhood corner store in the Haight. Ferris, Ramsey, and Dreezy are some of the coolest folks on the block, and they've been holding it down for years. ",
37.77818,-122.39698,DRINK,Bar Basic,"510 Brannan St<br />San Francisco, CA",http://www.basicsf.com,http://siascotch.com/wp-content/uploads/2014/02/bar_barbasic_sf.jpg,94107,(415) 227-0449,YES,Back to Basics - Your neighborhood bar - Open 6 days a week. upcoming events. happy hour. variety. ,
37.79983,-122.44131,DRINK,Reed & Greenough,"3251 Scott St<br />San Francisco, CA",http://www.reedandgreenough.com,http://siascotch.com/wp-content/uploads/2014/02/bar_reedandgreenough.jpg,94123,(415) 913-7021,YES,Spectaular bar in the Marina district. Really rad bartenders. And check out the cool art in the back. A-mazing.,8
33.83319,-116.54700,DRINK,Trio Restaurant,"707 N Palm Canyon Dr, Palm Springs, CA ",http://www.triopalmsprings.com,http://siascotch.com/wp-content/uploads/2014/02/bar_trio_palmsprings.jpg,92262,(760) 864-8746,YES,"An energetic, desert-casual atmosphere and great American modern food at reasonable prices. ",
37.76490,-122.42432,DRINK,Elixir,"3200 16th St<br /> San Francisco, CA",http://www.elixirsf.com,http://siascotch.com/wp-content/uploads/2014/02/bar_elixir_sf.jpg,94103,(415) 552-1633,YES,Enjoy a glass of SIA Scotch at one of the oldest continually running Saloons in San Francisco. Ask for SIA in a delicious Old Fashioned.,7
37.58655,-122.36449,STORE,Weimax Wines & Spirits,"1178 Broadway<br />Burlingame, CA",http://www.weimax.com/,http://siascotch.com/wp-content/uploads/2014/02/store_weimax_burlingame.jpg,94010,(650) 343-0182,YES,"Selections often come from off-the-beaten path locales and, they suppose, are not for everyone.  But if you have taste for good wines, (and spirits) stop by the shop! ",
38.57614,-121.48663,DRINK,de Vere's Irish Pub,"1521 L St<br />Sacramento, CA",http://www.deverespub.com,http://siascotch.com/wp-content/uploads/2014/02/bar_deveres_sacramento.jpg,95814,(916) 231-9947,YES,"de Vere's Irish Pubs- Our pubs are a place for friends, families, & co-workers to enjoy great food, sports, whiskey, craft ales & great chat.",
38.29399,-122.46861,STORE,"Sonoma Market","500 West Napa St<br />Sonoma, CA",http://www.sonoma-glenellenmkt.com,http://siascotch.com/wp-content/uploads/2014/02/store_sonomamarket_sonoma.jpg,95476,(707) 996-3411,YES,"Locals know that if you want a quality shopping experience in the California Wine Country, Sonoma Market offers incredible selection, quality and customer service.  ",
34.03479,-118.21517,STORE,"Ramirez Liquor, Wine, & Kegs","736 Soto St<br />Los Angeles, CA",http://www.ramirezliquor.com,http://siascotch.com/wp-content/uploads/2014/02/store_ramirez_losangeles.jpg,90023,(323) 261-2915,YES,Voted one of the top 10 spirits stores in Los Angeles by the LA Weekly,
39.72971,-121.84077,DRINK,Crush,"201 Broadway St<br />Chico, CA",http://www.chicocrush.com,http://siascotch.com/wp-content/uploads/2014/02/bar_crush_chico.jpg,95928,(530) 342-7000,YES,"Specializing in Italian Flavors mixed with fresh, local, seasonal ingredients creates a vibrant menu of dishes that embrace the energy and atmosphere of the restaurant. ",
38.54376,-121.74154,DRINK,de Vere's Irish Pub,"217 E St<br />Davis, CA",http://www.yelp.com/biz/de-veres-irish-pub-davis-2,http://siascotch.com/wp-content/uploads/2014/02/bar_deveres_sacramento.jpg,95616,(530) 204-5533,YES,"de Vere's pubs are a place for friends, families, & co-workers to enjoy great food, sports, whiskey, craft ales & great chat.",
39.76523,-121.61840,DRINK,Smokie Mountain Steak House,"7039 Skyway<br />Paradise, CA",http://smokiemountainsteakhouse.com,http://siascotch.com/wp-content/uploads/2014/02/bar_smokiemountainsteakhouse_paradise.jpg,95969,(530) 872-3323,YES,"Cocktail lounge and selective wine list at Smokie Mountain Steak House & Lounge in Paradise, CA. ",
37.90692,-122.54796,DRINK,Sweetwater Music Hall,"19 Corte Madera Ave<br />Mill Valley, CA",http://www.sweetwatermusichall.com,http://siascotch.com/wp-content/uploads/2014/02/bar_sweetwater_millvalley.jpg,94941,(415) 388-3850,YES,Great shows at this community gathering place and live music venue dedicated to bringing back the Sweetwater’s musical legacy to Mill Valley.,
38.57368,-121.46995,DRINK,The Red Rabbit,"2718 J St<br />Sacramento, CA",https://theredrabbit.net,http://siascotch.com/wp-content/uploads/2014/02/bar_redrabbit_sacramento.jpg,95816,(916) 706-2275,YES,"Red Rabbit creates fine cocktails from the ground up. Syrups are housemade, juices only fresh squeezed. Fresh herbs are hand muddled. Red Rabbit's spirits list is eclectic. and awesome! ",
38.59194,-121.28442,DRINK,Cordova Casino Restaurant,"2801 Prospect Park Dr<br />Rancho Cordova, CA",http://www.cordovacasino.com,http://siascotch.com/wp-content/uploads/2014/02/bar_cordovacasino_ranchocordova.jpg,95670,(916) 293-7470,YES,"At Cordova Casino we have more collection free games, the highest bonus payouts and more bonuses than any other casino in town!",
38.74410,-121.19805,DRINK,Hawks Restaurant,"5530 Douglas Blvd<br />Granite Bay, CA",http://www.hawksrestaurant.com,http://siascotch.com/wp-content/uploads/2014/02/bar_hawks_granitebay.jpg,95746,(916) 791-6200,YES,"Open Table Diner Choice Award Winner since 2009 for Best Ambiance, Californian Cuisine, and most Romantic atmosphere.",
38.57620,-121.48022,DRINK,Block Butcher Bar,"1050 20th Street<br />Sacramento, CA",https://www.facebook.com/blockbutcherbar,http://siascotch.com/wp-content/uploads/2014/02/bar_block_sacramento.jpg,95811,(916) 706-2636,YES,"A boutique salumi, spirits and wine bar. The menu will feature house-cured charcuterie, fine artisanal cheeses and seasonal bites. ",
39.72410,-121.84900,STORE,Rays Liquor,"207 Walnut St<br />Chico, CA",http://www.yelp.com/biz/rays-liquor-chico,http://siascotch.com/wp-content/uploads/2014/02/store_raysliquor_chico.jpg,95928,(530) 343-3249,YES,"From Yelp: Convenient shop for snacks, alcohol, inner tubes for the river and soft drinks. Service is great, prices are good and location is awesome.",
38.56999,-121.49132,DRINK,Shady Lady Bar,"1409 R St #101<br />Sacramento, CA",http://www.shadyladybar.com,http://siascotch.com/wp-content/uploads/2014/02/bar_shadylady_sacramento.jpg,95811,(916) 231-9121,YES,"The Shady Lady Saloon has a passion for handcrafted cocktails. From the freshest fruits and herbs and the finest selection of spirits and liqueurs, they skillfully reconstruct recipes of the past for today. ",
39.72140,-121.84067,STORE,ABC Market,"715 W 9th St<br />Chico, CA",http://www.yelp.com/biz/a-b-c-market-chico,http://siascotch.com/wp-content/uploads/2014/02/store_abcmarket_chico.jpg,95928,(530) 891-8350,YES,A really fun shop- their facebook page kinda says it all. Thank you Bash for carrying SIA!,
39.75109,-121.60814,DRINK,Casa de Paradiso,"5667 Clark Rd<br />Paradise, CA",http://www.casadeparadiso.com,http://siascotch.com/wp-content/uploads/2014/02/bar_casadeparadiso_paradise.jpg,95969,(530) 877-4107,YES,"Casa de Paradiso is a Mexican restaurant feeding the Paradise, CA community since 1993. ",
39.77530,-121.88085,DRINK,Basque Norte,"3355 Esplanade<br />Chico, CA",http://www.basquenorte.com,http://siascotch.com/wp-content/uploads/2014/02/bar_basquenorte_chico.jpg,95973,(530) 891-5204,YES,Basque Norte has been serving quality dinners since 1975. Enjoy the warm hospitality of this family-operated restaurant.,
38.36484,-121.96023,STORE,Barrel 2 Bottle,"1020 Helen Power Dr<br />Vacaville, CA",https://www.facebook.com/barrel2bottle,http://siascotch.com/wp-content/uploads/2014/02/store_barrel2bottle_vacaville.jpg,95687,(707) 449-9999,YES,"Barrel 2 Bottle is one of Northern California's premier wine and spirits stores. Unparalleled in quality and variety of spirits and fine wines. If we don't have it, we'll get it for you!",
37.76275,-122.43318,STORE,17th & NOE Market,"3900 17th St<br />San Francisco",http://www.yelp.com/biz/17th-and-noe-market-san-francisco-3,http://siascotch.com/wp-content/uploads/2014/04/store_17noemarket_sf.jpg,94114,(415) 863-6337,YES,From Yelp: “Sam is always the one to ask about each and every wine they have to offer.”,
37.33513,-121.89002,DRINK,55 South,"55 S 1st St<br />San Jose, CA",http://www.yelp.com/biz/55-south-san-jose,http://siascotch.com/wp-content/uploads/2014/04/bar_55south_sanjose.jpg,95113,(408) 288-6000,YES,Be sure to order a SIA old fashioned- with a round ice cube/ball!,
37.33000,-121.88635,DRINK,Agenda,"399 S 1st St <br />San Jose, CA",http://www.agendalounge.com,http://siascotch.com/wp-content/uploads/2014/04/bar_agenda_sanjose.jpg,95113,(408) 287-3991,YES,"From Yelp: “Great music, great crowed, and the dance floor is fab.” Good For Dancing: Yes",
37.77917,-122.39296,DRINK,Alchemist Bar & Lounge,"679 3rd StSan Francisco, CA ",http://www.alchemistsf.com,http://siascotch.com/wp-content/uploads/2014/04/bar_alchemist_sanfrancisco_SIA_Scotch.jpg,94107,(415) 746-9968,YES,"Can a person be in love with a bar? The answer is yes. Alchemist has a gorgeous interior, an amazing vibe, and really, really amazing cocktails.",9
37.78949,-122.41252,DRINK,Bacchus Kirk,"925 Bush St<br />San Francisco, CA",http://www.bacchuskirk.org/,http://siascotch.com/wp-content/uploads/2014/04/bar_bacchuskirk_san_francisco_SIA_Scotch.jpg,94109,(415) 474-4056,YES,"from yelp: “seriously though, it's got really cute decor (w/ a fireplace!) and there're pool tables in the back.”",
37.42960,-122.12275,STORE,Ernie’s @ Century Wine & Spirits,"3163 Middlefield Rd<br />Palo Alto, CA",http://centurywine.org,http://siascotch.com/wp-content/uploads/2014/04/store_ernieatcenturystore_paloalto_SIA_Scotch.jpg,94306,(650) 600-9905,YES,"Always friendly, informational and helpful.  Whether I'm confused over a cheap bottle of wine or looking to get a nice bottle of scotch these guys will always come around the counter to help me out.",
38.43776,-122.72024,DRINK,Jack and Tony's Whisky Bar,"115 4th St<br />Santa Rosa, CA",http://www.jackandtonys.com/,http://siascotch.com/wp-content/uploads/2014/04/bar_jackandtonys_santarosa_SIA_Scotch.jpg,95401,(707) 526-4347,YES,"The adjacent Whisky Bar shelves over 300 expressions of Scotch, Bourbon, Irish, American and Japanese whiskies ranging  from $6 to well over $100 and now offering tasting flights. ",3
37.75158,-122.42795,STORE,Noe Valley Wine Merchants,"3821 24th St<br />San Francisco, CA",http://www.noevalleywinemerchants.com/,http://siascotch.com/wp-content/uploads/2014/04/store_noevalleywinemerchants_sanfrancisco_SIA_Scotch.jpg,94114,(415) 374-7249,YES,"From Yelp: “Great (and expanding) selection, super friendly and helpful staff, and interesting tastings.”",7
37.77570,-122.44618,DRINK,Barrel Head Brewhouse,"1785 Fulton St<br />San Francisco, CA",http://barrelheadsf.com/,http://siascotch.com/wp-content/uploads/2014/04/bar_barrelheadbrewhouse_sanfrancisco_SIA_Scotch.jpg,94117,(415) 416-6989,YES,"The bar scene north of the Panhandle just got more exciting with the arrival of Barrel Head Brewhouse, the long-anticipated brewpub.",
33.72463,-117.90732,DRINK,Darya Restaurant,"3800 S Plaza Dr<br />Santa Ana, CA",www.daryasouthcoastplaza.com,http://siascotch.com/wp-content/uploads/2014/04/bar_darya_santaana_SIA_Scotch.jpg,92704,(714) 557-6600,YES,Voted the #1 Persian gourmet restaurant in Orange County by the OC Register. Maybe it's the exquisite ambiance!,
37.78560,-122.41141,DRINK,Fish & Farm Restaurant,"339 Taylor St<br />San Francisco, CA",http://www.fishandfarmsf.com,http://siascotch.com/wp-content/uploads/2014/04/bar_fishandfarm_sanfrancisco_SIA_Scotch.jpg,94102,(415) 474-3474,YES,Downtown San Francisco. Fine dining serving locally sourced American seafood and artisan meats.,2
37.92124,-122.52490,DRINK,Boca Pizzeria,"1544 Redwood Highway<br />Corte Madera, CA",http://www.bocapizzeria.com/,http://siascotch.com/wp-content/uploads/2014/04/bar_bocapizzeria_cortemadera_SIA_Scotch.jpg,94925,(415) 924-3021,YES,"Italian-inspired Pizzeria utilizing the abundance of Northern California’s seasonal ingredients, while showcasing local micro breweries and wine country’s boutique varietals.",
37.97429,-122.56259,STORE,Ludwigs Fine Wine & Spirits,"431 San Anselmo Ave<br />San Anselmo, CA",http://www.ludwigsfinewine.com/sku788528419770.html,http://siascotch.com/wp-content/uploads/2014/04/store_ludwigs_sananselmo_SIA_Scotch.jpg,94960,(415) 456-1820,YES,"<strong><a href=""http://www.ludwigsfinewine.com/sku788528419770.html"">Order SIA directly online here</strong></a> or at the Shop in San Anselmo. ",9
33.52347,-117.15028,DRINK,Sorrel Restaurant/Bistro,"41377 MARGARITA RD<br />TEMECULA, CA ",http://www.sorrelbistro.com/,http://siascotch.com/wp-content/uploads/2014/05/bar_sorrel_temecula_SIA_Scotch.jpg,92591,(951) 296-3372,YES,"Since the restaurant's inception, the unmistakable heartbeat that has continued to resonate throughout Sorrel's intimate atmosphere can easily be traced back to one word: innovation. ",
